"food_id","food_name","portion_size","calorie","protein_gr","carbohydrate_gr","fat_gr"
"27250630",Tuna noodle casserole with mushroom sauce,Per 100g,139.0,9.02,13.92,5.18
"27250710",Tuna and rice with mushroom sauce,Per 100g,128.0,4.57,15.39,5.17
"27250810",Fish and rice with tomato-based sauce,Per 100g,135.0,5.41,16.53,5.12
"27250820",Fish and rice with cream sauce,Per 100g,133.0,5.54,15.76,4.98
"27250830",Fish and rice with mushroom sauce,Per 100g,135.0,5.34,16.11,5.16
"27250900",Fish and noodles with mushroom sauce,Per 100g,131.0,6.3,14.79,5.11
"27250950",Shellfish and noodles with tomato-based sauce,Per 100g,135.0,6.58,15.74,5.04
"27251010",Stewed salmon,Per 100g,146.0,12.02,8.47,7.02
"27260080",Meat loaf made with beef and pork (Includes: meatball or meat patty,Per 100g,196.0,17.27,7.18,10.5
"27260100",Meat loaf made with beef and pork,Per 100g,157.0,13.63,6.75,8.18
"27260110",Hash,Per 100g,164.0,8.73,9.27,10.24
"27260500",Vienna sausages stewed with potatoes,Per 100g,219.0,5.08,13.06,16.36
"27311210",Corned beef,Per 100g,127.0,4.76,13.73,6.0
"27311510",Shepherd's pie,Per 100g,123.0,7.64,8.72,6.3
"27313110",Beef chow mein or chop suey with noodles,Per 100g,129.0,10.78,11.17,4.89
"27315250",Stuffed cabbage rolls with beef and rice,Per 100g,114.0,8.3,8.83,5.06
"27315270",Stuffed grape leaves with beef and rice,Per 100g,228.0,8.15,11.3,17.03
"27317010",Pot pie,Per 100g,271.0,8.92,23.95,15.37
"27319010",Stuffed green pepper,Per 100g,152.0,8.89,15.63,5.84
"27320025",Ham or pork,Per 100g,151.0,8.42,18.31,4.91
"27320310",Pork chow mein or chop suey with noodles,Per 100g,143.0,10.41,11.17,6.38
"27320500",Sweet and sour pork with rice,Per 100g,187.0,9.81,16.46,8.83
"27330050",Lamb or mutton,Per 100g,136.0,5.05,16.34,5.51
"27330170",Stuffed grape leaves with lamb and rice,Per 100g,271.0,8.17,11.89,21.52
"27335500",Stewed rabbit,Per 100g,214.0,17.14,6.83,12.7
"27336200",Venison or deer,Per 100g,127.0,5.95,11.17,6.5
